1619-4500,4OR
1570-9639,Biochimica et Biophysica Acta - Proteins and Proteomics
0304-419X,Biochimica et Biophysica Acta - Reviews on Cancer 
1367-4803,Bioinformatics
0006-3223,Biological Psychiatry
0142-9612,Biomaterials
0006-3495,Biophysical Journal
1464-4096,BJU International
0006-4971,Blood
1471-2105,BMC Bioinformatics
1741-7007,BMC Biology
1471-213X,BMC Developmental Biology
1471-2164,BMC Genomics
1472-6963,BMC Health Services Research
1471-2180,BMC Microbiology
1471-2458,BMC Public Health
1472-6807,BMC Structural Biology
0959-8138,BMJ
0268-3369,Bone Marrow Transplantation
0006-8950,Brain
0006-8993,Brain Research
0167-6806,Breast Cancer Research and Treatment
0007-0173,Brio
0141-1926,British Educational Research Journal
0007-0882,British Journal for the Philosophy of Science
0007-0912,British Journal of Anaesthesia
0007-0920,British Journal of Cancer
0007-0963,British Journal of Dermatology
0960-1643,British Journal of General Practice
0007-1048,British Journal of Haematology
1045-3172,British Journal of Management
0007-1188,British Journal of Pharmacology
0007-1250,British Journal of Psychiatry
0007-1315,British Journal of Sociology
0007-1323,British Journal of Surgery
0959-8138,British Medical Journal
1550-8366,Bulletin of the American Society for Information Science and Technology
0007-5140,Bulletin of the History of Medicine
0008-543X,Cancer
1084-9785,Cancer Biotherapy and Radiopharmaceuticals
1475-2867,Cancer Cell International
1055-9965,"Cancer Epidemiology, Biomarkers and Prevention"
0008-5472,Cancer Research
0008-6223,Carbon
0143-3334,Carcinogenesis
0008-6363,Cardiovascular Research
0092-8674,Cell
0143-4160,Cell Calcium
1550-4131,Cell Metabolism
2211-1247,Cell Reports
1420-682X,Cellular and Molecular Life Sciences
1462-5814,Cellular Microbiology
0898-6568,Cellular Signalling
1047-3211,Cerebral Cortex
1054-1500,Chaos
0009-2002,Chaucer Review
1359-7345,Chemical Communications
0930-7516,Chemical Engineering and Technology
0009-2509,Chemical Engineering Science
0306-0012,Chemical Society Reviews
0012-3692,CHEST
0967-3849,Chromosome Research
0009-7322,Circulation
0009-7330,Circulation Research
0009-8388,Classical Quarterly
0009-9104,Clinical and Experimental Immunology
1556-6811,Clinical and Vaccine Immunology
1078-0432,Clinical Cancer Research
0009-9147,Clinical Chemistry
0300-0664,Clinical Endocrinology
0009-9163,Clinical Genetics
1058-4838,Clinical Infectious Diseases
1198-743X,Clinical Microbiology and Infection
1388-2457,Clinical Neurophysiology
0905-7161,Clinical Oral Implants Research
0009-9236,Clinical Pharmacology and Therapeutics
0143-5221,Clinical Science
1469-493X,Cochrane Database of Systematic Reviews
0364-0213,Cognitive Science
0149-5933,Comparative Strategy
2151-7223,Computer Game Education Review
0045-7825,Computer Methods in Appied Mechanics and Engineering
1508-2806,Computer Science Journal
0010-9452,Cortex
1364-8535,Critical Care
0090-3493,Critical Care Medicine
0011-1562,Critical Quarterly
0011-3255,Current Bibliography on African Affairs
0960-9822,Current Biology
1424-8581,Cytogenetic and Genome Research
1477-9226,Dalton Transactions
1785-0622,Debreceni Muszaki Közlemények
0142-694X,Design Studies
1011-6370,Development -  Society for International Development
0950-1991,Development - Company of Biologists
0012-1606,Developmental Biology
1058-8388,Developmental Dynamics
0012-1622,Developmental Medicine and Child Neurology
0012-1797,Diabetes
0149-5992,Diabetes Care
0742-3071,Diabetic Medicine
0012-186X,Diabetologia
0963-8288,Disability and Rehabilitation
1078-0947,Discrete and Continuous Dynamical Systems - Series A
1754-8403,Disease Models and Mechanisms
0873-626X,Disputatio
0012-9658,Ecology
0012-9682,Econometrica
0013-0133,Economic Journal
0261-4189,EMBO Journal
1469-221X,EMBO Reports
1080-6040,Emerging Infectious Diseases
0013-7227,Endocrinology
1754-5692,Energy and Environmental Science
0301-4215,Energy Policy
1360-6743,English Language and Linguistics
0308-518X,Environment and Planning A
1462-2912,Environmental Microbiology
0013-936X,Environmental Science and Technology
1439-1635,Ernährung und Medizin
1535-9778,Eukaryotic Cell
1018-8827,European Child and Adolescent Psychiatry
0195-668X,European Heart Journal
0959-8049,European Journal of Cancer
0014-2972,European Journal of Clinical Investigation
0954-3007,European Journal of Clinical Nutrition
1381-4788,European Journal of General Practice
1018-4813,European Journal of Human Genetics
0014-2980,European Journal of Immunology
0953-816X,European Journal of Neuroscience
1619-7070,European Journal of Nuclear Medicine and Molecular Imaging
1090-3801,European Journal of Pain
0014-2999,European Journal of Pharmacology
0046-2772,European Journal of Social Psychology
1434-6001,European Physical Journal A: Hadrons and Nuclei
1434-6028,European Physical Journal B: Condensed Matter and Complex Systems
1434-6044,European Physical Journal C: Particles and Fields
1434-6060,"European Physical Journal D: Atomic, Molecular, Optical and Plasma Physics"
1292-8941,European Physical Journal E: Soft Matter and Biological Physics
0938-7994,European Radiology
0903-1936,European Respiratory Journal
0302-2838,European Urology
0014-3820,Evolution
0014-4819,Experimental Brain Research
0014-4827,Experimental Cell Research
0958-0670,Experimental Physiology
0263-2136,Family Practice
0892-6638,FASEB Journal
1742-464X,FEBS Journal
0014-5793,FEBS Letters
0014-8962,Feddes Repertorium
0378-1097,FEMS Microbiology Letters
2039-1544,Food In
1093-9946,Frontiers in Bioscience
0016-5085,Gastroenterology
0953-5233,Gender and History
0890-9369,Genes and Development
1466-4879,Genes and Immunity
0016-6731,Genetics
1465-6906,Genome Biology
1088-9051,Genome Research
0888-7543,Genomics
0091-7613,Geology
0094-8276,Geophysical Research Letters
0016-9013,Gerontologist
1354-1013,Global Change Biology
0959-6658,Glycobiology
0017-5749,Gut
0090-8258,Gynecologic Oncology
0017-8101,Harvard Law Record
0278-2715,Health Affairs
1353-8292,Health and Place
0735-9683,Health Marketing Quarterly
0168-8510,Health Policy
1366-5278,Health Technology Assessment
0308-7298,History of Photography
0018-2710,History of Religions
0018-7070,Huisarts en Wetenschap
1043-0342,Human Gene Therapy
0340-6717,Human Genetics
0964-6906,Human Molecular Genetics
1059-7794,Human Mutation
0268-1161,Human Reproduction
0194-911X,Hypertension
1063-6706,IEEE Transactions on Fuzzy Systems
1045-9227,IEEE Transactions on Neural Networks
1083-4427,"IEEE Transactions on Systems, Man and Cybernetics, Part A: Systems and Humans"
1083-4419,"IEEE Transactions on Systems, Man and Cybernetics, Part B: Cybernetics"
1094-6977,"IEEE Transactions on Systems, Man and Cybernetics, Part C: Applications and Reviews"
1074-7613,Immunity
0019-2805,Immunology
0019-9567,Infection and Immunity
1805-2800,Informace
1558-2477,Innovations
0020-1669,Inorganic Chemistry
0962-1075,Insect Molecular Biology
0342-4642,Intensive Care Medicine
0029-5981,International Journal for Numerical Methods in Engineering
0020-7519,International Journal for Parasitology
0924-8579,International Journal of Antimicrobial Agents
1357-2725,International Journal of Biochemistry and Cell Biology
0020-7136,International Journal of Cancer
1812-3031,International Journal of Electrical Engineering
0300-5771,International Journal of Epidemiology
0885-6230,International Journal of Geriatric Psychiatry
0307-0565,International Journal of Obesity
0901-5027,International Journal of Oral and Maxillofacial Surgery
0360-3016,International Journal of Radiation Oncology - Biology - Physics
1027-3719,International Journal of Tuberculosis and Lung Disease
0020-8523,International Review of Administrative Sciences
1542-7951,Internet Mathematics
0146-0404,Investigative Ophthalmology and Visual Science
0020-9996,Investigative Radiology
0021-4922,Japanese Journal of Applied Physics
0091-0627,Journal of Abnormal Child Psychology
0021-843X,Journal of Abnormal Psychology
1525-4135,Journal of Acquired Immune Deficiency Syndromes
0309-2402,Journal of Advanced Nursing
1932-5614,"Journal of Aging, Humanities, and the Arts"
0021-8561,Journal of Agricultural and Food Chemistry
0091-6749,Journal of Allergy and Clinical Immunology
0305-7453,Journal of Antimicrobial Chemotherapy
0021-8979,Journal of Applied Physics
8750-7587,Journal of Applied Physiology
0305-4403,Journal of Archaeological Science
0162-3257,Journal of Autism and Developmental Disorders
0021-9193,Journal of Bacteriology
0021-9258,Journal of Biological Chemistry
1549-3296,Journal of Biomedical Materials Research Part A
1552-4973,Journal of Biomedical Materials Research Part B: Applied Biomaterials
0021-9355,"Journal of Bone and Joint Surgery, American Volume"
0301-620X,"Journal of Bone and Joint Surgery, British Volume"
0884-0431,Journal of Bone and Mineral Research
0021-9525,Journal of Cell Biology
0021-9533,Journal of Cell Science
0021-9541,Journal of Cellular Physiology
0271-678X,Journal of Cerebral Blood Flow and Metabolism
0021-9606,Journal of Chemical Physics
0021-9630,Journal of Child Psychology and Psychiatry
0021-972X,Journal of Clinical Endocrinology and Metabolism
0895-4356,Journal of Clinical Epidemiology
0021-9738,Journal of Clinical Investigation
0095-1137,Journal of Clinical Microbiology
0732-183X,Journal of Clinical Oncology
0898-929X,Journal of Cognitive Neuroscience
0021-9991,Journal of Computational Physics
0022-006X,Journal of Consulting and Clinical Psychology
1475-7516,Journal of Cosmology and Astroparticle Physics
0022-0345,Journal of Dental Research
0300-5712,Journal of Dentistry
0931-8658,Journal of Economics
0922-2936,Journal of Empirical Theology
0022-0795,Journal of Endocrinology
0143-005X,Journal of Epidemiology and Community Health
1531-3204,Journal of Ethnic and Cultural Diversity in Social Work
1356-1294,Journal of Evaluation in Clinical Practice
0022-0949,Journal of Experimental Biology
0022-1007,Journal of Experimental Medicine
0278-7393,Journal of Experimental Psychology Learning Memory and Cognition
0022-1031,Journal of Experimental Social Psychology
1479-8409,Journal of Financial Econometrics
0022-1120,Journal of Fluid Mechanics
0022-1317,Journal of General Virology
0148-0227,Journal of Geophysical Research
1029-8479,Journal of High Energy Physics
0263-6352,Journal of Hypertension
0022-1759,Journal of Immunological Methods
0022-1767,Journal of Immunology
0022-1899,Journal of Infectious Diseases
1916-0518,Journal of Interventional Oncology
0022-202X,Journal of Investigative Dermatology
0741-5400,Journal of Leukocyte Biology
1545-1542,Journal of Mammalogy
0022-2380,Journal of Management Studies
0959-9428,Journal of Materials Chemistry
0306-6800,Journal of Medical Ethics
0022-2593,Journal of Medical Genetics
0022-2615,Journal of Medical Microbiology
0146-6615,Journal of Medical Virology
0022-2623,Journal of Medicinal Chemistry
1338-5178,"Journal of Microbiology, Biotechnology and Food Sciences"
1947-6574,Journal of Modern Periodical Studies
1747-0862,Journal of Molecular and Genetic Medicine
0022-2836,Journal of Molecular Biology
1525-1578,Journal of Molecular Diagnostics
0163-3864,Journal of Natural Products - American Chemical Society
0974-5211,Journal of Natural Products - India
0022-3042,Journal of Neurochemistry
0953-8194,Journal of Neuroendocrinology
0340-5354,Journal of Neurology
0022-3050,"Journal of Neurology, Neurosurgery and Psychiatry"
0022-3077,Journal of Neurophysiology
0270-6474,Journal of Neuroscience
0161-5505,Journal of Nuclear Medicine
0022-3166,Journal of Nutrition
2040-8978,Journal of Optics
0022-3263,Journal of Organic Chemistry
0022-3417,Journal of Pathology
0022-3492,Journal of Periodontology
1089-5639,Journal of Physical Chemistry A
1520-6106,Journal of Physical Chemistry B
1932-7447,Journal of Physical Chemistry C
1948-7185,Journal of Physical Chemistry Letters
0976-7673,Journal of Physics
1751-8113,Journal of Physics A: Mathematical and Theoretical
0953-4075,"Journal of Physics B: Atomic, Molecular and Optical Physics"
0022-3727,Journal of Physics D: Applied Physics
0022-3735,Journal of Physics E: Scientific instruments
0954-3899,Journal of Physics G: Nuclear and Particle Physics
0953-8984,Journal of Physics: Condensed Matter
1742-6588,Journal of Physics: Conference Series
0022-3751,Journal of Physiology
1645-4537,Journal of Portuguese Linguistics
1535-3893,Journal of Proteome Research
1741-3842,Journal of Public Health
0315-162X,Journal of Rheumatology
0075-4358,Journal of Roman Studies
0047-2794,Journal of Social Policy
1047-8477,Journal of Structural Biology
1937-1888,Journal of Studies on Alcohol and Drugs
0001-4966,Journal of the Acoustical Society of America
0890-8567,Journal of the American Academy of Child and Adolescent Psychiatry
0002-7863,Journal of the American Chemical Society
0002-8614,Journal of the American Geriatrics Society
0098-7484,Journal of the American Medical Association
1532-2882,Journal of the American Society for Information Science and Technology
1046-6673,Journal of the American Society of Nephrology
0926-9959,Journal of the European Academy of Dermatology and Venereology
0031-9015,Journal of the Physical Society of Japan
1742-5689,"Journal of the Royal Society, Interface"
0964-1998,Journal of the Royal Statistical Society: Series A
1369-7412,Journal of the Royal Statistical Society: Series B
0035-9254,Journal of the Royal Statistical Society: Series C
0039-0526,Journal of the Royal Statistical Society: Series D
0352-5139,Journal of the Serbian Chemical Society
1538-7933,Journal of Thrombosis and Haemostasis
0022-538X,Journal of Virology
1534-7362,Journal of Vision
1940-087X,Journal of Visualized Experiments
0022-541X,Journal of Wildlife Management
1540-9996,Journal of Women's Health
0952-8369,Journal of Zoology
0085-2538,Kidney International
0140-6736,Lancet
1473-3099,Lancet Infectious Diseases
0743-7463,Langmuir
0302-9743,Lecture Notes in Computer Science
0887-6924,Leukemia
0024-3841,Lingua
1475-2875,Malaria Journal
1340-2625,Materia Japan
1345-9678,Materials Transactions
0025-7273,Medical History
0094-2405,Medical Physics
0195-9131,Medicine and Science in Sports and Exercise
1386-7423,"Medicine, Health Care and Philosophy"
0374-5406,Memórias da Academia das Ciências de Lisboa: Classe de Ciências
0378-116X,Memórias da Academia das Ciências de Lisboa: Classe de Letras
1073-5623,Metallurgical and Materials Transactions A
0076-6879,Methods in Enzymology
1543-1894,Methods in Molecular Medicine
1504-0658,Michael
1286-4579,Microbes and Infection
1350-0872,Microbiology
0026-4423,Mind
0026-7937,Modern Language Review
0026-7961,Modern Law Review
0166-6851,Molecular and Biochemical Parasitology
0270-7306,Molecular and Cellular Biology
1044-7431),Molecular and Cellular Neurosciences
1535-9476,Molecular and Cellular Proteomics
1059-1524,Molecular Biology of the Cell
1541-7786,Molecular Cancer Research
1097-2765,Molecular Cell
0962-1083,Molecular Ecology
0888-8809,Molecular Endocrinology
0161-5890,Molecular Immunology
0950-382X,Molecular Microbiology
0893-7648,Molecular Neurobiology
0026-895X,Molecular Pharmacology
1359-4184,Molecular Psychiatry
1090-0535,Molecular Vision
0035-8711,Monthly Notices of the Royal Astronomical Society
0885-3185,Movement Disorders
0148-639X,Muscle and Nerve
1530-6984,Nano Letters
0957-4484,Nanotechnology
0028-0836,Nature
1465-7392,Nature Cell Biology
1755-4330,Nature Chemistry
1061-4036,Nature Genetics
1752-0894,Nature Geoscience
1529-2908,Nature Immunology
1476-1122,Nature Materials
1078-8956,Nature Medicine
1097-6256,Nature Neuroscience
1749-4885,Nature Photonics
1745-2473,Nature Physics
1754-2189,Nature Protocols
1474-1733,Nature Reviews Immunology
1471-0072,Nature Reviews Molecular Cell Biology
1471-003X,Nature Reviews Neuroscience
0028-2162,Nederlands Tijdschrift voor Geneeskunde
0028-2200,Nederlands Tijdschrift voor Tandheelkunde
0931-0509,Nephrology Dialysis Transplantation
0300-2977,Netherlands Journal of Medicine
1749-8104,Neural Development
0893-6080,Neural Networks
1053-8119,NeuroImage
0028-3878,Neurology
0960-8966,Neuromuscular Disorders
0896-6273,Neuron
0028-3932,Neuropsychologia
0893-133X,Neuropsychopharmacology
0959-4965,Neuroreport
0306-4522,Neuroscience
0304-3940,Neuroscience Letters
0028-4793,New England Journal of Medicine
0028-4866,New England Quarterly
0048-0169,New Zealand Veterinary Journal
0952-3480,NMR in Biomedicine
0168-9002,Nuclear Instruments and Methods in Physics Research Section A
0375-9474,Nuclear Physics A
0550-3213,Nuclear Physics B
0305-1048,Nucleic Acids Research
0029-6570,Nursing Standard
1504-7342,Occational Papers
1646-6950,Oftalmologia
0030-1299,Oikos
0950-9232,Oncogene
0161-6420,Ophthalmology
1094-4087,Optics Express
0146-9592,Optics Letters
1523-7060,Organic Letters
1531-7129,Otology and Neurotology
0141-9838,Parasite Immunology
0031-1820,Parasitology
1353-8020,Parkinsonism and Related Disorders
0031-2746,Past and Present
0738-3991,Patient Education and Counseling
0031-4005,Pediatrics
0031-6768,Pflugers Archiv - European Journal of Physiology
0031-8116,Philosophical Studies
1364-503X,"Philosophical Transactions of the Royal Society A: Mathematical, Physical and Engineering Sciences "
0962-8436,Philosophical Transactions of the Royal Society B: Biological Sciences
0031-8248,Philosophy of Science 
0378-4371,Physica A: Statistical Mechanics and its Applications
0921-4526,Physica B: Condensed Matter
0921-4534,Physica C: Superconductivity and its Applications
0167-2789,Physica D: Nonlinear Phenomena
1463-9076,Physical Chemistry Chemical Physics
1050-2947,Physical Review A
1098-0121,Physical Review B
0556-2813,Physical Review C
1550-7998,Physical Review D
1539-3755,Physical Review E
0031-9007,Physical Review Letters
0031-9155,Physics in Medicine and Biology
0375-9601,Physics Letters A
0370-2693,Physics Letters B
1040-4651,Plant Cell
0032-0889,Plant Physiology
1544-9173,PLoS Biology
1553-734X,PLoS Computational Biology
1553-7390,PLoS Genetics
1549-1277,PLoS Medicine
1932-6203,PLoS ONE
1553-7366,PLoS Pathogens
0032-3217,Political Studies
0091-7435,Preventive Medicine
1471-4418,Primary Care Respiratory Journal
0277-786X,Proceedings of SPIE
1546-3222,Proceedings of the American Thoracic Society
2156-1028,Proceedings of the International Conference on Coastal Engineering
0027-8424,Proceedings of the National Academy of Sciences
1364-5021,"Proceedings of the Royal Society A: Mathematical, Physical and Engineering Sciences"
0962-8452,Proceedings of the Royal Society B: Biological Sciences
0950-1193,"Proceedings of the Royal Society of London. Series B, Containing papers of a Biological character"
0080-4649,"Proceedings of the Royal Society of London. Series B, Containing papers of a Biological character. Royal Society (Great Britain)"
0309-1325,Progress in Human Geography
0270-4137,Prostate
0961-8368,Protein Science
0887-3585,Proteins
1615-9853,Proteomics
0033-2909,Psychological Bulletin
0033-2917,Psychological Medicine
0956-7976,Psychological Science
0306-4530,Psychoneuroendocrinology
0033-3158,Psychopharmacology
1438-7026,Psychotherapie im Dialog
1662-4246,Public Health Genomics
1055-3037,Public Policy and Aging Report
1314-7374,Quanta
0033-5533,Quarterly Journal of Economics
1747-0218,Quarterly Journal of Experimental Psychology
0033-8419,Radiology
0167-8140,Radiotherapy and Oncology
0034-3404,Regional Studies
1470-1626,Reproduction
0958-2029,Research Evaluation
0891-4222,Research in Developmental Disabilities
0954-6111,Respiratory Medicine
0034-6861,Reviews of Modern Physics
0254-1106,Revista Crítica de Ciências Sociais
1462-0324,Rheumatology
1403-4948,Scandinavian Journal of Public Health
0036-5599,Scandinavian Journal of Urology and Nephrology
0920-9964,Schizophrenia Research
0036-8075,Science
1368-4973,Sexually Transmitted Infections
0741-5842,Shaw: Annual of Bernard Shaw Studies
1073-2322,Shock
0165-1684,Signal Processing
0951-631X,Social History of Medicine
0277-9536,Social Science and Medicine
0362-2436,Spine
1066-5099,Stem Cells
0039-2499,Stroke
0969-2126,Structure
1369-8486,Studies in History and Philosophy of Biological and Biomedical Sciences
0039-7857,Synthese
0039-7881,Synthesis
0161-4681,Teachers College record (1970)
0040-4020,Tetrahedron
0950-236X,Textual Practice
0040-6090,Thin Solid Films
1384-6930,Tijdschrift voor Communicatiewetenschappen
0167-9228,Tijdschrift voor Gerontologie en Geriatrie
0303-7339,Tijdschrift voor psychiatrie
1076-3279,Tissue Engineering
1398-9219,Traffic
0035-9203,Transactions of the Royal Society of Tropical Medicine and Hygiene
0041-1337,Transplantation
0361-1981,Transportation research record
0168-9525,Trends in Genetics
0166-2236,Trends in Neurosciences
1471-4922,Trends in Parasitology
1360-2276,Tropical Medicine and International Health
1302-6488,Turkish Online Journal of Distance Education
0301-5629,Ultrasound in Medicine and Biology
0264-410X,Vaccine
0042-6822,Virology
0042-6989,Vision Research
0952-5238,Visual Neuroscience
0273-1223,Water Science and Technology
1757-3920,Wide Screen
1468-1838,World Economics
0939-7868,Zeitschrift für Ganzheitliche Tiermedizin
