Journal Title,ISSN,ESSN,RoMEO Record ID,Updated
"Accountability Forum",1742-7703,,1640,2013-09-05
"Accountability in Research",0898-9621,1545-5815,1141,2014-03-26
"Accounting and Business Research",0001-4788,2159-4260,1140,2014-03-26
"Accounting and Finance",0810-5391,1467-629X,2052,2014-08-28
"Accounting and Finance Research",1927-5986,1927-5994,915,2014-07-28
"Accounting and the Public Interest",,1530-9320,633,2012-07-24
"Accounting, Auditing and Accountability Journal",0951-3574,,31,2014-08-28
"Accounting, Economics and Law",2152-2820,2152-2820,414,2014-04-01
"Accounting Education",0963-9284,1468-4489,1140,2014-03-26
"Accounting Forum",0155-9982,1467-6303,30,2014-05-16
"Accounting History",1032-3732,1749-3374,65,2013-03-11
"Accounting History Review",2155-2851,2155-286X,1140,2014-03-26
"Accounting Horizons",0888-7993,1558-7975,633,2012-07-24
"Accounting in Europe",1744-9480,1744-9499,1140,2014-03-26
"Accounting, Organizations and Society",0361-3682,,30,2014-05-16
"Accounting Perspectives",1911-382X,1911-3838,646,2011-01-26
"Accounting Research Journal",1030-9616,,31,2014-08-28
"Accounting Review",0001-4826,1558-7967,633,2010-09-03
"Accounts of Chemical Research",0001-4842,1520-4898,4,2014-08-07
"Accreditation and Quality Assurance",0949-1775,1432-0517,74,2014-08-27
"ACEE International Journal on Civil and Environmental Engineering",2162-0180,2162-0199,1539,2013-04-29
"ACEE International Journal on Transportation and Urban Development",2162-0067,2162-0075,1539,2013-04-29
"ACEEE International Journal on Communication",2158-754X,2158-7558,1297,2012-08-22
"Acetic Acid Bacteria",,2240-2845,644,2013-09-09
"ACM Computing Surveys",0360-0300,1557-7341,21,2013-08-12
"ACM Journal on Emerging Technologies in Computing Systems",1550-4832,1550-4840,21,2013-08-12
"ACM Journal on Experimental Algorithmics",,1084-6654,21,2013-08-12
"ACM Letters on Programming Languages and Systems",0164-0925,1558-4593,21,2014-07-01
"ACM Transactions in Embedded Computing Systems",1539-9087,1558-3465,21,2013-08-12
"ACM Transactions of Computing Education",1531-4278,,21,2013-08-12
"ACM Transactions on Accessible Computing",1936-7228,1936-7236,21,2014-07-01
"ACM Transactions on Algorithms",1549-6325,1549-6333,21,2013-08-12
"ACM Transactions on Applied Perception",1544-3558,1544-3965,21,2013-08-12
"ACM Transactions on Architecture and Code Optimization",1544-3566,1544-3973,21,2013-08-12
"ACM Transactions on Asian Language Information Processing",1530-0226,1558-3430,21,2013-08-12
"ACM Transactions on Autonomous and Adaptive Systems",1556-4665,1556-4703,21,2013-08-12
"ACM Transactions on Computation Theory",1942-3454,1942-3462,21,2013-08-12
"ACM Transactions on Computational Logic",1529-3785,1557-945X,21,2013-08-12
"ACM Transactions on Computer-Human Interaction",1073-0516,1557-7325,21,2013-08-12
"ACM Transactions on Computer Systems",0734-2071,1557-7333,21,2013-08-12
"ACM Transactions on Database Systems",0362-5915,1557-4644,21,2013-08-12
"ACM Transactions on Economics and Computation",2167-8375,2167-8383,21,2014-09-15
"ACM Transactions on Graphics",0730-0301,1557-7368,21,2013-08-12
"ACM Transactions on Information and System Security",1094-9224,1557-7406,21,2013-08-12
"ACM Transactions on Information Systems",1046-8188,1558-2868,21,2013-08-12
"ACM Transactions on Internet Technology",1533-5399,1557-6051,21,2013-08-12
"ACM Transactions on Knowledge Discovery from Data",1556-4681,1556-472X,21,2013-08-12
"ACM Transactions on Mathematical Software",0098-3500,1557-7295,21,2013-08-12
"ACM Transactions on Modeling and Computer Simulation",1049-3301,1558-1195,21,2013-08-12
"ACM Transactions on Multimedia Computing, Communications and Applications",1551-6857,1551-6865,21,2013-08-12
"ACM Transactions on Parallel Computing",2329-4949,2329-4957,21,2014-09-15
"ACM Transactions on Programming Languages and Systems",0164-0925,1558-4593,21,2013-08-12
"ACM Transactions on Reconfigurable Technology and Systems",1936-7406,1936-7414,21,2013-08-12
"ACM Transactions on Sensor Networks",1550-4859,1550-4867,21,2013-08-12
"ACM Transactions on Software Engineering and Methodology",1049-331X,1557-7392,21,2013-08-12
"ACM - Transactions on Speech and Language Processing",1550-4875,1550-4883,21,2013-08-12
"ACM Transactions on the Web",1559-1131,1559-114X,21,2013-08-12
"ACME: An International E-Journal for Critical Geographies",1492-9732,,953,2011-05-11
"Acorn",1092-6534,2153-8263,1000,2013-05-29
"Acoustical Arts and Artifacts, Technology, Aesthetics, Communication",1824-6176,1825-3873,774,2013-02-28
"Acoustical Physics",1063-7710,1562-6865,141,2011-03-08
"Acoustics Australia",0814-6039,,518,2010-09-07
"Acoustics Bulletin",0308-437X,,608,2010-09-07
"Acoustics Research Letters Online",1529-7853,,126,2011-08-12
"Acoustics Today",1557-0215,,126,2011-08-12
"ACP Medicine",1547-1632,1547-1659,461,2012-03-05
"Acrocephalus",,0351-2851,1851,2014-04-10
"Across Languages and Cultures",1585-1923,1588-2519,365,2013-07-30
"ACS Applied Materials and Interfaces",1944-8244,1944-8252,4,2014-08-07
"ACS Catalysis",,2155-5435,4,2014-08-07
"ACS Chemical Biology",1554-8929,1554-8937,4,2014-08-07
"ACS Chemical Neuroscience",1948-7193,,4,2014-08-07
"ACS Macro Letters",,2161-1653,4,2014-08-07
"ACS Medicinal Chemistry Letters",1948-5875,,4,2014-08-07
"ACS Nano",1936-0851,1936-086X,4,2014-08-07
"ACS Photonics",,2330-4022,4,2014-08-19
"ACS Surgery: Principles and Practice",,1547-1616,485,2012-03-05
"ACS Sustainable Chemistry and Engineering",,2168-0485,4,2014-08-19
"ACS Symposium Series",0097-6156,1947-5918,4,2014-08-07
"ACS Synthetic Biology",,2161-5063,4,2014-08-07
"ACSM Health and Fitness Journal",1091-5397,1536-593X,245,2013-07-04
"ACSM's Health and Fitness Journal",1091-5397,1536-593X,245,2013-07-04
"Acta Acustica united with Acustica",1610-1928,1861-9959,1406,2012-12-17
"Acta Advances in Agricultural Sciences - Home",,2345-6817,1936,2014-05-22
"Acta Agriculturae Scandinavica, Section A - Animal Science",0906-4702,1651-1972,1141,2014-03-26
"Acta Agriculturae Scandinavica, Section B - Soil and Plant Science",0906-4710,1651-1913,1141,2014-03-26
"Acta Agriculturæ Scandinavica, Section C - Food Economics",2164-828X,2164-8298,1142,2014-03-26
"Acta Agriculturae Slovenica",,1854-1941,1851,2014-04-10
"Acta Agrobotanica",0065-0951,2300-357X,1653,2013-09-26
"Acta Agronómica",0120-2812,,686,2010-08-10
"Acta Agronomica Hungarica",0238-0161,1588-2527,365,2013-07-30
"Acta Agronomica Sinica",1875-2780,,30,2014-05-16
"Acta Alimentaria",0139-3006,1588-2535,365,2013-07-30
"Acta Anaesthesiologica Scandinavica",0001-5172,1399-6576,580,2014-03-18
"Acta Anaesthesiologica Taiwanica",1875-4597,,30,2014-05-16
"Acta Analytica",0353-5150,1874-6349,74,2014-08-28
"Acta Antiqua",0044-5975,1588-2543,365,2013-07-30
"Acta Applicandae Mathematicae",0167-8019,1572-9036,74,2014-05-16
"Acta Archaeologica",0065-101X,1600-0390,2052,2014-08-28
"Acta Arithmetica",0065-1036,1730-6264,401,2014-07-25
"Acta Astronautica",0094-5765,,30,2014-05-16
"Acta Automatica Sinica",1874-1029,,30,2014-08-05
"Acta Biochimica et Biophysica Sinica",1672-9145,1745-7270,1476,2013-03-26
"Acta Biológica Colombiana",1900-1649,,686,2013-05-29
"Acta Biologica Cracoviensia Series Botanica",,1898-0295,1851,2014-04-10
"Acta Biologica Debrecina. Supplementum oecologica hungarica",0236-8684,,1191,2012-04-03
"Acta Biologica Hungarica",0236-5383,1588-256X,365,2013-07-30
"Acta Biomaterialia",1742-7061,,30,2014-05-16
"Acta Biotechnologica",0138-4988,1521-3846,1554,2013-07-30
"Acta Biotheoretica",0001-5342,1572-8358,74,2014-08-28
"Acta Borealia",0800-3831,1503-111X,1140,2014-03-26
"Acta Botanica Croatica",,0365-0588,1851,2014-04-10
"Acta Botanica Gallica",1253-8078,2166-3408,1141,2014-03-26
"Acta Botanica Hungarica",0236-6495,1588-2578,365,2013-07-30
"Acta Chemica Iasi",,2067-2446,1851,2014-04-10
"Acta Chimica Sinica",1001-604X,1614-7065,79,2013-06-04
"Acta Chimica Slovaca",,1337-978X,1851,2014-04-10
"Acta Chirurgica Latviensis",,1407-981X,1851,2014-04-10
"Acta Chromatographica",1233-2356,,365,2013-07-30
"Acta Clinica Belgica",1784-3286,,724,2010-08-02
"Acta Crystallographica",0365-110X,,332,2014-04-25
"Acta Crystallographica Section A: Crystal physics, diffraction, theoretical and general crystallography",0567-7394,,332,2014-04-25
"Acta Crystallographica Section A: Foundations and Advances",,2053-2733,332,2014-04-25
"Acta Crystallographica Section A: Foundations of Crystallography",0108-7673,1600-5724,332,2014-04-25
"Acta crystallographica Section B: Structural crystallography and crystal chemistry",0567-7408,,332,2014-04-25
"Acta Crystallographica Section B: Structural Science",0108-7681,1600-5740,332,2014-04-25
"Acta Crystallographica Section B: Structural Science, Crystal Engineering and Materials",2052-5192,2052-5206,332,2014-04-25
"Acta Crystallographica Section C: Crystal Structure Communications",0108-2701,1600-5759,332,2014-04-25
"Acta crystallographica Section C: Structural chemistry",,2053-2296,332,2014-05-02
"Acta Crystallographica Section D: Biological Crystallography",0907-4449,1399-0047,332,2014-04-25
"Acta Crystallographica Section E: Structure Reports Online",1600-5368,,332,2014-04-25
"Acta Crystallographica Section F: Structural Biology and Crystallization Communications",1744-3091,,332,2014-04-25
"Acta Crystallographica Section F: Structural Biology Communications",,2053-230X,332,2014-04-25
"Acta Cytologica",0001-5547,1938-2650,242,2013-08-08
"Acta Dermato-Venereologica",0001-5555,1651-2057,723,2011-08-26
"Acta Dermato-Venereologica Supplementum",0365-8341,,723,2011-08-26
"Acta Dermatovenerologica Alpina, Pannonica et Adriatica",,1581-2979,1851,2014-04-10
"Acta Diabetologica",0940-5429,1432-5233,74,2014-08-28
"Acta Didactica Norge",,1504-9922,1066,2011-10-21
"Acta Ecologica Sinica",1872-2032,,30,2014-05-16
"Acta Electrotechnica et Informatica",,1338-3957,1851,2014-04-10
"Acta Endoscopica",0240-642X,1958-5454,74,2014-05-16
"Acta et Commentationes Universitatis Tartuensis de Mathematica",1406-2283,2228-4699,1583,2013-09-24
"Acta Ethnographica Hungarica",1216-9803,1588-2586,365,2013-07-30
"Acta ethologica",0873-9749,1437-9546,74,2014-05-16
"Acta Facultatis Medicae Naissensis",,2217-2521,1851,2014-04-10
"Acta Facultatis Pharmaceuticae Universitatis Comenianae",,1338-6786,1851,2014-04-10
"Acta Fytotechnica et Zootechnica",1335-258X,1336-9245,1680,2013-10-11
"Acta Genetica Sinica",0379-4172,,30,2014-05-16
"Acta Geodaetica et Geophysica",2213-5812,2213-5820,74,2014-08-27
"Acta Geodaetica et Geophysica Hungarica",1217-8977,1587-1037,365,2013-07-30
"Acta Geographica Slovenica",1581-6613,1581-8314,296,2010-09-06
"Acta Geologica Hungarica",0236-5278,1588-2594,365,2012-11-07
"Acta Geologica Polonica",,2300-1887,1851,2014-04-10
"Acta Geologica Sinica - English Edition",,1755-6724,580,2014-03-18
"Acta Geophysica",1895-6572,1895-7455,74,2014-08-28
"Acta Geotechnica",1861-1125,1861-1133,74,2014-08-28
"Acta Haematologica",0001-5792,1421-9662,242,2013-08-08
"Acta Haematologica Polonica",0001-5814,,30,2014-05-16
"Acta Herpetologica",1827-9635,1827-9643,1932,2014-05-22
"Acta Histochemica",0065-1281,,30,2014-05-16
"Acta Historiae Artium",0001-5830,1588-2608,365,2013-07-30
"Acta Horti Botanici Bucurestiensis",,2359-7089,1851,2014-04-10
"Acta Horticulturae",0567-7572,,378,2010-09-08
"Acta hydrochimica et hydrobiologica",0323-4320,1521-401X,79,2013-07-30
"Acta Informatica",0001-5903,1432-0525,74,2014-08-28
"Acta Juridica",0065-1346,1996-2088,1900,2014-05-01
"Acta Juridica Hungarica",1216-2574,1588-2616,365,2013-07-30
"Acta Kinesiologiae Universitatis Tartuensis",1406-9822,2228-3501,1583,2013-09-24
"Acta Linguistica Hafniensia",0374-0463,1949-0763,1140,2014-03-26
"Acta Linguistica Hungarica",1216-8076,1588-2624,365,2013-07-30
"Acta Materialia",1359-6454,,30,2014-05-16
"Acta Mathematica",0001-5962,1871-2509,1048,2011-09-30
"Acta Mathematica Hungarica",0236-5294,1588-2632,365,2013-07-30
"Acta Mathematica Scientia",0252-9602,,30,2014-05-16
"Acta Mathematica Sinica",1439-8516,1439-7617,74,2014-05-16
"Acta Mathematica Sinica, English Series",1439-8516,1439-7617,74,2014-08-27
"Acta Mathematica Vietnamica",0251-4184,2315-4144,74,2014-08-27
"Acta Mathematicae Applicatae Sinica",0168-9673,1618-3932,74,2014-05-16
"Acta Mechanica",0001-5970,1619-6937,74,2014-08-28
"Acta Mechanica et Automatica",,2300-5319,1851,2014-04-10
"Acta Mechanica Sinica",0567-7718,1614-3116,74,2014-08-28
"Acta Mechanica Slovaca",,1335-2393,1851,2014-04-10
"Acta Mechanica Solida Sinica",0894-9166,,30,2014-05-16
"Acta Medica Austriaca",0303-8173,1563-2571,1499,2014-03-18
"Acta Medica Iranica",0044-6025,1735-9694,1208,2012-03-29
"Acta Medica Marisiensis",,2247-6113,1851,2014-04-10
"Acta Medica Martiniana",,1335-8421,1851,2014-04-10
"Acta Médica Portuguesa",,1646-0758,1049,2012-01-11
"Acta Metallurgica Sinica",1006-7191,,74,2014-10-10
"Acta Metallurgica Sinica (English Letters)",1006-7191,2194-1289,74,2014-08-27
"Acta Meteorologica Sinica",,0894-0525,74,2014-05-16
"Acta Microbiologica et Immunologica Hungarica",1217-8950,1588-2640,365,2013-07-30
"Acta Mycologica",0001-625X,2353-074X,1653,2014-01-31
"Acta Neerlandica",1585-7948,,1197,2012-03-06
"Acta Neurochirurgica",0001-6268,0942-0940,74,2014-08-28
"Acta Neurologica Belgica",0300-9009,2240-2993,74,2014-08-28
"Acta Neurologica Scandinavica",0001-6314,1600-0404,2050,2014-08-28
"Acta Neuropathologica",0001-6322,1432-0533,74,2014-08-28
"Acta Neuropathologica Communications",,2051-5960,22,2014-03-14
"Acta Neuropsychiatrica",0924-2708,1601-5215,2127,2014-10-07
"Acta Numerica",0962-4929,1474-0508,2127,2014-10-07
"Acta Obstetricia et Gynecologica Scandinavica",0001-6349,1600-0412,2050,2014-08-28
"Acta Oceanologica Sinica",0253-505X,1869-1099,74,2014-05-16
"Acta Odontologica Scandinavica",0001-6357,1502-3850,348,2013-10-29
"Acta Odontologica Turcica",,2147-690X,1636,2013-09-05
"Acta Oecologica",1146-609X,,30,2014-05-16
"Acta Oeconomica",0001-6373,1588-2659,365,2010-07-19
"Acta Oncologica",0284-186X,1651-226X,348,2013-10-29
"Acta Ophthalmologica",1755-375X,1755-3768,580,2014-03-18
"Acta Orientalia",0001-6446,1588-2667,365,2013-07-30
"Acta Orthopaedica",1745-3674,1745-3682,348,2013-10-29
"Acta Oto-laryngologica",0001-6489,1651-2251,348,2013-10-29
"Acta Otorrinolaringologica",2173-5735,,990,2013-10-21
"Acta Otorrinolaringológica Española",0001-6519,1988-3013,990,2013-10-21
"Acta Paediatrica",0803-5253,1651-2227,2050,2014-08-28
"Acta Paediatrica Scandinavica",,0001-656X,580,2014-03-18
"Acta Palaeobotanica",,2082-0259,1851,2014-04-10
"Acta Palaeontologica Polonica",0567-7920,1732-2421,972,2013-08-07
"Acta Parasitologica",1230-2821,1896-1851,74,2014-08-28
"Acta Pediátrica Portuguesa",0873-9781,,881,2012-09-28
"Acta Pharmaceutica",,1846-9558,1851,2014-04-10
"Acta Pharmaceutica Sinica B",2211-3835,,30,2014-05-16
"Acta Pharmacologica Sinica",1671-4083,1745-7254,1456,2013-04-16
"Acta Philosphica, Rivista internazionale di filosofia",1121-2179,1825-6562,774,2013-02-28
"Acta physica Academiae Scientiarum Hungaricae",0001-6705,,74,2014-05-16
"Acta Physica Hungarica",0231-4428,,74,2014-05-16
"Acta Physica Hungarica A) Heavy Ion Physics",1219-7580,1588-2675,74,2014-05-16
"Acta Physica Hungarica B: Quantum Electronics",1589-9535,1786-3767,74,2014-05-16
"Acta Physica Slovaca",,1336-040X,1851,2014-04-10
"Acta Physico-Chimica Sinica",1872-1508,,30,2014-05-16
"Acta Physiologiae Plantarum",0137-5881,1861-1664,74,2014-08-28
"Acta Physiologica",1748-1708,1748-1716,2050,2014-08-28
"Acta Physiologica Hungarica",0231-424X,1588-2683,365,2013-07-30
"Acta Phytopathologica et Entomologica Hungarica",0238-1249,1588-2691,365,2013-07-30
"Acta Politica",0001-6810,1741-1416,210,2013-07-29
"Acta Polymerica",0323-7648,1521-4044,79,2013-05-23
"Acta Psychiatrica Scandinavica",0001-690X,1600-0447,2050,2014-08-28
"Acta Psychologica",0001-6918,,30,2014-05-16
"Acta Radiologica",0284-1851,1600-0455,65,2013-08-16
"Acta Radiologica Short Reports",,2047-9816,65,2013-07-04
"Acta Reumatologica Portuguesa",0303-464X,,883,2010-11-22
"Acta Seismologica Sinica",1000-9116,1993-1344,74,2014-05-16
"Acta Silvatica et Lignaria Hungarica",,1787-064X,1851,2014-04-10
"Acta Societatis Botanicorum Poloniae",0001-6977,2083-9480,1653,2013-09-26
"Acta Sociologica",0001-6993,1502-3869,65,2013-03-11
"Acta Technologica Agriculturae",,1338-5267,1851,2014-04-10
"Acta Theologica",1015-8758,,1550,2013-05-23
"Acta Theriologica",0001-7051,2190-3743,294,2014-08-28
"Acta Tropica",0001-706X,,30,2014-05-16
"Acta Universitatis Cibiniensis. Series E: Food Technology",,2344-150X,1851,2014-04-10
"Acta Universitatis Nicolai Copernici Archeologia",,0137-6616,1963,2014-06-27
"Acta Universitatis Nicolai Copernici Ekonomia",,2080-0339,1963,2014-06-27
"Acta Universitatis Nicolai Copernici Pedagogika",,0208-5313,1963,2014-06-27
"Acta Universitatis Nicolai Copernici Zabytkoznawstwo i Konserwatorstwo",,0208-533X,1963,2014-06-27
"Acta Universitatis Nicolai Copernici Zarządzanie",,0860-1232,1963,2014-06-27
"Acta Universitatis Sapientiae, Agriculture and Environment",,2068-2964,1851,2014-04-10
"Acta Universitatis Sapientiae, Economics and Business",,2343-8894,1851,2014-04-10
"Acta Universitatis Sapientiae, Informatica",,2066-7760,1851,2014-04-10
"Acta Universitatis Sapientiae, Philologica",,2068-2956,1851,2014-04-10
"Acta Veterinaria",,1820-7448,1851,2014-04-10
"Acta Veterinaria Hungarica",0236-6290,1588-2705,365,2013-07-30
"Acta Veterinaria Scandinavica",,1751-0147,22,2013-02-25
"Acta Vulcanologica",1121-9114,1724-0425,774,2013-02-28
"Acta Zoologica",0001-7272,1463-6395,2050,2014-08-28
"Acta Zoologica Academiae Scientiarum Hungaricae",1217-8837,,1192,2012-04-03
"Acta Zoologica Fennica",0001-7299,,491,2014-08-22
"Actas Dermo-Sifiliográficas",1578-2190,1578-2190,990,2013-10-21
"Actas Urológicas Españolas (English Edition)",2173-5786,,990,2013-10-21
"Actas Urológicas Españolas",0210-4806,1699-7980,990,2013-10-21
"Actes d'Història de la Ciència i de la Tècnica",2013-1666,2013-9640,777,2012-11-20
"Actes de la Recherche en Sciences Sociales",0335-5322,,513,2011-01-25
"Actes de savoirs",1955-6128,,604,2012-08-24
"Action in Teacher Education",0162-6620,2158-6098,1600,2014-03-26
"Action Learning: Research and Practice",1476-7333,1476-7341,1140,2014-03-26
"Action Research",1476-7503,1741-2617,65,2013-03-11
"Active Aging Today",,2164-392X,300,2014-08-01
"Active and Passive Electronic Components",0882-7516,1563-5031,100,2013-03-20
"Active Learning in Higher Education",1469-7874,1741-2625,65,2013-03-11
"Actividad Dietética",1138-0322,,990,2013-10-21
"Activities, Adaptation and Aging",0192-4788,1544-4368,1139,2014-03-26
"Activities of the Conference: Resolutions of the Council of Ministers of Transport and Reports Approved",1563-048X,2220-7422,725,2011-03-28
"Actual Gynecology And Obstetrics",1803-9588,,1658,2013-09-24
"Actualidades en Psicología",,0258-6444,1364,2013-09-24
"Actualidades Investigativas en Educación",,1409-4703,1364,2013-09-24
"Actualités Odonto-Stomatologiques",0001-7817,1760-611X,137,2013-02-27
"Actualités Pharmaceutiques",0515-3700,,30,2014-05-16
"Actualités Pharmaceutiques Hospitalières",1769-7344,,30,2014-05-16
"Actuators",,2076-0825,487,2013-06-21
"Actuel Marx",0994-4524,,604,2012-08-24
"Acupuncture and Electro-Therapeutics Research",0360-1293,,771,2011-09-30
"Acupuncture and Related Therapies",2211-7660,,30,2014-05-16
"Acupuncture in Medicine",0964-5284,1759-9873,25,2013-10-28
"Acute Cardiac Care",1748-2941,1748-295X,348,2013-10-29
"Acute Medicine and Surgery",,2052-8817,2050,2014-08-11
"Acute Pain",1366-0071,,30,2014-05-16
"Ad Hoc Networks",1570-8705,,30,2014-05-16
"AD-minister",1692-0279,2256-4322,1645,2013-09-12
"Ad verba Liberorum",,1691-5771,1851,2014-04-10
"Adaptation",1755-0637,1755-0645,1480,2013-03-26
"Adapted Physical Activity Quarterly",0736-5829,1543-2777,300,2014-07-11
"Adaptive Behavior",1059-7123,1741-2633,65,2013-03-11
"Adaptive Human Behavior and Physiology",,2198-7335,74,2014-08-27
"Addiction",0965-2140,1360-0443,2050,2014-08-28
"addiction and health",2008-4633,2008-8469,1414,2014-08-08
"Addiction Biology",1355-6215,1369-1600,2050,2014-08-28
"Addiction Genetics",,2084-7688,1851,2014-04-10
"Addiction Research and Theory",1606-6359,1476-7392,348,2013-10-29
"Addiction Science and Clinical Practice",,1940-0640,22,2014-08-27
"Addictive Behaviors",0306-4603,,30,2014-05-16
"Addictive Disorders and Their Treatment",1531-5754,,48,2013-10-23
"Additives for Polymers",0306-3747,,265,2013-05-03
"ADE Bulletin",0001-0898,,1295,2012-06-29
"Adelphi Papers",,0567-932X,1600,2014-03-26
"Adelphi Series",1944-5571,1944-558X,1600,2014-03-26
"ADFL Bulletin",0148-7639,,1295,2012-06-29
"ADHD Attention Deficit and Hyperactivity Disorders",1866-6116,1866-6647,74,2014-08-28
"ADHD Report",1065-8025,,371,2012-11-09
"Adhoc and Sensor Wireless Networks",1551-9899,1552-0633,503,2013-10-08
"Adipobiology",,1313-3705,2021,2014-07-31
"Adipocyte",2162-3945,2162-397X,218,2013-09-09
"Adipositas - Ursachen, Folgeerkrankungen, Therapie",1865-1739,,243,2013-03-20
"Admap",0001-8295,,475,2011-01-06
"Administration and Policy in Mental Health and Mental Health Services Research",0894-587X,1573-3289,74,2014-08-28
"Administration and Society",0095-3997,1552-3039,65,2013-03-11
"Administration in Social Work",0364-3107,1544-4376,1139,2014-03-26
"Administrative and Regulatory Law News",0567-9494,,632,2011-08-12
"Administrative Law Review",0001-8368,,632,2011-08-12
"Administrative Science Quarterly",0001-8392,1930-3815,489,2013-06-17
"Administrative Sciences",,2076-3387,487,2011-01-21
"Administrative Theory and Praxis",1084-1806,1949-0461,628,2010-09-14
"Adolescent Health, Medicine and Therapeutics",,1179-318X,407,2014-01-30
"Adolescent Psychiatry",,2210-6766,316,2013-01-24
"Adoption and Fostering",0308-5759,1740-469X,614,2013-06-17
"Adoption Quarterly",1092-6755,1544-452X,1139,2014-03-26
"Adsorption",0929-5607,1572-8757,74,2014-08-28
"Adsorption Science and Technology",0263-6174,,144,2014-03-18
"Adult Education Quarterly",0741-7136,1552-3047,65,2013-03-11
"Adult Learning",1045-1595,2162-4070,65,2013-06-17
"Adultspan Journal",1524-6817,2161-0029,2052,2014-08-11
"Advanced Biomedical Research",,2277-9175,89,2014-08-26
"Advanced Composite Materials",0924-3046,1568-5519,1141,2014-03-26
"Advanced Drug Delivery Reviews",0169-409X,,30,2014-05-16
"Advanced Emergency Nursing Journal",1931-4485,1931-4493,48,2013-10-23
"Advanced Energy Materials",1614-6832,1614-6840,79,2013-07-30
"Advanced Engineering Forum",2234-9898,,303,2013-08-12
"Advanced Engineering Informatics",1474-0346,,30,2014-05-16
"Advanced Engineering Materials",1438-1656,1527-2648,79,2013-07-30
"Advanced Functional Materials",1616-301X,1616-3028,79,2013-07-30
"Advanced Health Care Technologies",,2350-269X,407,2014-01-30
"Advanced Healthcare Materials",2192-2640,2192-2659,2050,2014-08-11
